,activate_my_card,age_limit,apple_pay_or_google_pay,atm_support,automatic_top_up,beneficiary_not_allowed,card_about_to_expire,card_acceptance,card_arrival,card_delivery_estimate,card_linking,card_not_working,card_payment_fee_charged,card_payment_not_recognised,card_swallowed,cash_withdrawal_charge,cash_withdrawal_not_recognised,change_pin,compromised_card,contactless_not_working,country_support,declined_card_payment,declined_cash_withdrawal,direct_debit_payment_not_recognised,disposable_card_limits,edit_personal_details,exchange_charge,exchange_rate,extra_charge_on_statement,failed_transfer,get_disposable_virtual_card,getting_virtual_card,lost_or_stolen_card,lost_or_stolen_phone,oos,order_physical_card,passcode_forgotten,pending_cash_withdrawal,pending_top_up,receiving_money,request_refund,supported_cards_and_currencies,terminate_account,top_up_by_bank_transfer_charge,top_up_by_card_charge,top_up_by_cash_or_cheque,top_up_failed,top_up_limits,transaction_charged_twice,transfer_not_received_by_recipient,transfer_timing,unable_to_verify_identity,verify_my_identity,verify_top_up,virtual_card_not_working,visa_or_mastercard,why_verify_identity,wrong_amount_of_cash_received,wrong_exchange_rate_for_cash_withdrawal
activate_my_card,82,0,0,0,0,0,7,0,2,5,86,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
age_limit,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
apple_pay_or_google_pay,0,0,92,0,0,0,0,0,0,0,1,22,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,43,0,1,0,0,0,0,0,0,0,0,0,0,0,0
atm_support,0,0,0,102,0,0,0,17,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
automatic_top_up,0,0,0,0,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0
beneficiary_not_allowed,0,0,0,0,0,53,0,0,0,0,0,1,0,6,0,0,4,0,0,0,0,3,31,35,0,0,1,1,0,2,0,0,0,0,4,0,0,0,0,3,0,2,0,0,0,0,0,0,0,42,5,3,0,0,0,0,0,0,0
card_about_to_expire,0,0,0,0,0,0,86,0,22,39,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
card_acceptance,0,0,0,0,0,0,0,75,0,0,0,0,0,2,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0
card_arrival,0,0,0,0,0,0,0,0,3,185,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
card_delivery_estimate,0,0,0,0,0,0,0,0,1,148,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
