,activate_my_card,age_limit,apple_pay_or_google_pay,atm_support,automatic_top_up,beneficiary_not_allowed,card_about_to_expire,card_acceptance,card_arrival,card_delivery_estimate,card_linking,card_not_working,card_payment_fee_charged,card_payment_not_recognised,card_swallowed,cash_withdrawal_charge,cash_withdrawal_not_recognised,change_pin,compromised_card,contactless_not_working,country_support,declined_card_payment,declined_cash_withdrawal,direct_debit_payment_not_recognised,disposable_card_limits,edit_personal_details,exchange_charge,exchange_rate,extra_charge_on_statement,failed_transfer,get_disposable_virtual_card,getting_virtual_card,lost_or_stolen_card,lost_or_stolen_phone,oos,order_physical_card,passcode_forgotten,pending_cash_withdrawal,pending_top_up,receiving_money,request_refund,supported_cards_and_currencies,terminate_account,top_up_by_bank_transfer_charge,top_up_by_card_charge,top_up_by_cash_or_cheque,top_up_failed,top_up_limits,transaction_charged_twice,transfer_not_received_by_recipient,transfer_timing,unable_to_verify_identity,verify_my_identity,verify_top_up,virtual_card_not_working,visa_or_mastercard,why_verify_identity,wrong_amount_of_cash_received,wrong_exchange_rate_for_cash_withdrawal
activate_my_card,166,0,0,0,0,0,2,0,21,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
age_limit,1,106,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
apple_pay_or_google_pay,0,0,86,0,27,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,17,24,0,0,0,0,0,0,0,0,0,0,0,0
atm_support,0,0,0,93,0,0,0,3,0,0,0,0,0,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
automatic_top_up,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,0,8,0,0,2,0,0,0,0,0,0,0,0
beneficiary_not_allowed,0,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,5,134,2,0,0,1,0,0,0,0,0
card_about_to_expire,0,0,0,0,0,0,70,0,86,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
card_acceptance,0,0,0,1,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
card_arrival,0,0,0,0,0,0,0,0,172,16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
card_delivery_estimate,0,0,0,0,0,0,0,0,85,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
card_linking,27,0,0,0,0,0,0,1,30,0,82,1,0,0,6,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,3,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
card_not_working,0,0,0,0,0,0,1,0,0,0,0,133,0,0,0,0,0,4,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
card_payment_fee_charged,0,1,0,0,0,0,0,1,0,0,0,0,118,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,58,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,5,0,1,34,0,0,0,0,0,0,0,0,0,0
card_payment_not_recognised,0,0,0,0,0,0,0,1,0,0,0,5,0,24,0,0,0,0,24,0,0,44,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,1,2,2,19,0,0,0,0,0,0,0,70,0,0,0,0,1,0,0,0,0,0
card_swallowed,0,0,0,2,0,0,0,0,2,0,0,9,0,0,78,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cash_withdrawal_charge,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,202,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0
cash_withdrawal_not_recognised,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,63,0,30,0,0,1,41,0,0,0,0,0,1,1,0,0,18,1,0,0,0,13,0,4,0,0,0,0,0,1,0,0,8,7,0,1,0,0,0,0,0,9,0
change_pin,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
compromised_card,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,107,0,0,1,0,0,0,0,0,0,1,0,0,0,6,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0
contactless_not_working,0,0,0,0,0,0,0,2,4,0,0,1,0,1,0,0,0,3,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
country_support,0,2,0,0,0,0,0,4,17,1,0,0,0,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,12,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
declined_card_payment,0,0,0,0,0,0,0,3,0,0,0,44,0,13,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
declined_cash_withdrawal,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,109,2,0,0,0,25,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
direct_debit_payment_not_recognised,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,13,74,30,0,0,0,0,8,2,0,0,1,0,1,0,0,0,0,0,62,0,0,0,0,0,0,0,23,0,0,0,1,3,0,0,0,0,0
disposable_card_limits,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,1,0,0,0,0
edit_personal_details,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
exchange_charge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,82,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
exchange_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
extra_charge_on_statement,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,161,0,0,0,0,0,0,0,0,10,4,0,4,0,0,0,0,1,0,0,24,0,1,0,0,0,0,0,0,0,0
failed_transfer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0
get_disposable_virtual_card,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
getting_virtual_card,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lost_or_stolen_card,0,0,0,0,0,0,0,0,7,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
lost_or_stolen_phone,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,135,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oos,0,1,0,0,0,1,0,4,21,0,2,13,4,26,2,0,15,279,3,0,4,128,19,0,0,12,16,388,30,68,69,3,4,0,0,53,1,236,139,41,333,129,4,99,15,113,232,27,128,407,306,0,46,19,0,0,0,0,0
order_physical_card,0,0,0,0,0,0,0,0,28,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21,0,1,0,0,86,0,0,0,0,0,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
passcode_forgotten,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pending_cash_withdrawal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,5,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
pending_top_up,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,0,0,0,0,0,0,1,49,1,0,0,4,0,0,4,0,0,0,0,0
receiving_money,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,30,0,0,0,0,0,0,0,0,0,0,0,64,0,6,0,4,0,1,0,0,0,5,7,0,4,6,0,0,0,0,0
request_refund,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,1,0,0,194,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
supported_cards_and_currencies,0,0,2,0,0,0,0,26,0,0,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,1,26,46,0,2,0,3,0,0,0,0,0,1,0,0,0
terminate_account,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top_up_by_bank_transfer_charge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,35,0,14,0,0,0,32,47,0,0,0,0,0,0,0,0
top_up_by_card_charge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,74,72,0,1,0,0,0,0,0,0,0,0,0,0,0
top_up_by_cash_or_cheque,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0
top_up_failed,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,1,156,0,0,2,0,0,0,3,0,0,0,0,0
top_up_limits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,135,0,0,0,0,0,0,0,0,0,0,0
transaction_charged_twice,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,0,13,0,0,0,0,0,0,0,195,0,0,0,0,0,0,0,0,0,0
transfer_not_received_by_recipient,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,13,4,2,0,0,0,0,0,1,0,3,81,100,0,0,1,0,0,0,0,0
transfer_timing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,163,0,0,0,0,0,0,0,0
unable_to_verify_identity,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0
verify_my_identity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144,0,0,0,0,0,0
verify_top_up,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,9,154,0,0,0,0,0
virtual_card_not_working,0,0,0,0,0,0,0,1,0,0,0,3,0,7,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,48,0,0,0,0
visa_or_mastercard,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,1,0,0,0,23,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0
why_verify_identity,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0
wrong_amount_of_cash_received,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,4,0,1,11,0,0,0,0,0,0,0,92,0
wrong_exchange_rate_for_cash_withdrawal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,23,0,0,0,0,0,0,0,0,0,2,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8,0
