,bash,cocoa,drupal,excel,haskell,hibernate,linq,magento,matlab,oos,oracle,osx,qt,sharepoint,svn,visual-studio
bash,852,4,0,69,6,0,7,0,4,15,1,20,3,0,15,4
cocoa,8,674,0,44,13,4,13,0,12,18,0,108,55,2,4,45
drupal,3,5,877,26,1,0,22,9,1,11,2,0,2,25,1,15
excel,4,2,0,959,4,0,5,0,1,2,1,1,0,1,0,20
haskell,3,1,0,19,934,1,8,0,6,14,0,3,3,0,1,7
hibernate,0,3,0,8,11,923,38,1,0,4,8,0,0,0,1,3
linq,0,2,0,17,10,6,926,0,1,2,7,0,1,1,0,27
magento,1,7,1,29,1,3,11,915,0,7,3,0,1,10,1,10
matlab,2,0,0,44,23,0,13,0,897,14,0,0,2,0,1,4
oos,62,203,17,596,852,314,359,47,6,730,17,58,69,621,93,956
oracle,2,2,1,27,2,23,46,1,0,6,869,0,0,4,3,14
osx,14,99,0,33,1,1,2,3,28,29,1,730,21,2,16,20
qt,4,11,0,18,4,0,5,0,7,9,1,7,904,0,0,30
sharepoint,2,0,1,23,1,2,18,5,0,3,1,1,1,889,4,49
svn,4,4,1,4,0,1,2,1,2,16,0,2,0,4,932,27
visual-studio,2,7,0,30,4,0,2,1,5,6,2,5,4,1,8,923
